,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,5D,4,3N,5,4,4,36
1,サファイヤ,387,207,433,627,408,250,554,362,429,3657
2,パール,370,191,410,592,390,233,534,338,401,3459
3,エメラルド,352,174,389,562,370,206,516,328,385,3282
4,ゴールド,335,156,371,533,351,184,499,314,367,3110
5,ルビー,309,144,312,506,301,112,427,261,306,2678
6,Hdcp,9,15,3,7,1,13,5,17,11,­
