,西,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,4D,5D,4.0,3.0,4.0,5.0,36
1,Back,376.0,383.0,185,398,483,360.0,225.0,376.0,577.0,3363
2,Competitio,376.0,354.0,175,398,483,360.0,205.0,376.0,577.0,3304
3,Regular,355.0,346.0,159,377,469,345.0,174.0,357.0,555.0,3137
4,Front,319.0,312.0,149,370,455,323.0,150.0,336.0,528.0,2942
5,Ladies,205.0,312.0,119,360,358,293.0,141.0,310.0,380.0,2478
6,Hdcp,,,,,,,,,,­
