,熱海　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3,5,4,4,3N,4,4,36
1,Back T.(A),309,470,185,462,322,327,171,319,375,2940
2,Reg.(A),297,451,171,448,307,318,154,298,356,2800
3,Ladies(A),297,433,145,436,294,313,138,268,286,2610
4,Back T.(B),274,448,161,441,311,292,153,304,378,2762
5,Ladies(B),262,411,121,415,283,278,120,253,289,2432
6,Reg.(B),262,429,147,427,296,283,136,283,359,2622
7,Hdcp,9,3,15,1,13,7,17,11,5,­
