,白糸,1,2,3,4,5,6,7,8,9,計
0,Par,3,4,4,3N,5D,4,5,4,4,36
1,BACK,167,452,433,185,514,325,524,437,339,3376
2,REGULAR,161,433,420,178,490,304,502,421,302,3211
3,Hdcp,8,2,3,7,1,5,4,6,9,­
