,宇刈　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5.0,4.0,3.0,4.0,4.0,3N,4.0,5D,4.0,36
1,B.T,521.0,425.0,210.0,455.0,345.0,186,383.0,539,449.0,3513
2,R.T,501.0,391.0,189.0,400.0,317.0,155,357.0,510,423.0,3243
3,F.T,477.0,351.0,139.0,377.0,284.0,129,341.0,487,387.0,2972
4,L.T,477.0,351.0,139.0,329.0,284.0,129,341.0,425,335.0,2810
5,Hdcp,,,,,,,,,,­
