,富士,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5,4,5D,3,4,36
1,Back,373,336,370,163,525,270,567,175,339,3118
2,REG,353,326,321,151,509,270,503,164,284,2881
3,LADIES,343,298,306,130,391,250,389,148,268,2523
4,Hdcp,2,3,7,8,1,9,5,6,4,­
