,白鳥,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,4,5D,3N,4,36
1,CHAMP,470,581,470,250,470,448,623,250,470,4032
2,Back,424,549,438,206,412,416,575,192,449,3661
3,REGULAR,381,523,406,192,412,375,536,149,401,3375
4,LADIES,357,491,366,177,364,333,476,149,352,3065
5,SENIOR,327,461,366,139,301,333,476,149,322,2874
6,Hdcp,5,11,1,15,9,17,3,13,7,­
