,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,3,4D,4,3,5,4,36
1,B.T,575,462,301,142,394,435,145,514,395,3363
2,R.T,558,375,290,120,378,360,131,500,360,3072
3,G.T,511,350,285,102,363,345,128,481,330,2895
4,L.T,459,313,280,100,348,310,126,458,303,2697
5,Hdcp,7,1,15,17,3,9,11,5,13,­
