,富士,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,3N,4,4,4D,5,4,36
1,BACK,531,180,388,206,330,327,320,539,342,3163
2,REGULAR,506,125,367,183,298,296,297,523,313,2908
3,Hdcp,2,8,3,7,5,1,9,4,6,­
