,松,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,4,3,5D,36
1,Back,320,390,502,185,365,427,298,158,556,3201
2,Reg,287,366,482,173,365,376,268,141,524,2982
3,LADIES,261,327,388,155,304,277,268,130,489,2599
4,Hdcp,7,1,4,6,3,2,8,9,5,­
