,富士,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,5D,4,3,4,4,36
1,Back T.,511,207,350,373,522,399,170,364,325,3221
2,Reg.,477,142,329,360,505,383,154,353,310,3013
3,Ladies,417,109,307,310,423,283,144,297,300,2590
4,Hdcp,4,6,8,1,5,3,9,2,7,­
