,浜名湖,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5D,4,3N,4,5,36
1,TOURNAMENT,366,353,367,189,470,388,192,402,575,3302
2,Back,351,353,353,189,470,374,175,383,525,3173
3,REGULAR,351,338,353,173,456,374,175,349,525,3094
4,Gold,330,316,341,130,380,334,148,275,445,2699
5,LADIES,330,316,341,130,380,334,148,275,412,2666
6,Hdcp,7,6,4,5,8,1,9,3,2,­
