,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,4,4,3N,4D,5,36
1,Blue,446,374,153,514,468,435,194,426,494,3504
2,White,420,363,133,499,446,396,173,402,484,3316
3,Red,339,295,125,409,250,300,127,245,360,2450
4,Hdcp,4,10,16,14,2,8,12,6,18,­
