,愛鷹,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4,3N,4,5D,4,4,36
1,Back T.,409,177,534,339,175,435,489,370,458,3386
2,Reg.,395,157,482,322,148,403,466,348,445,3166
3,Front,355,123,398,300,130,360,430,297,388,2781
4,Ladies,321,123,398,222,130,294,430,297,276,2491
5,Hdcp,6,4,5,9,7,1,8,3,2,­
