,山名　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5D,3N,5.0,4.0,3.0,4.0,4.0,36
1,B.T,421.0,431.0,536,179,524.0,390.0,224.0,415.0,371.0,3491
2,R.T,391.0,411.0,509,153,489.0,366.0,192.0,400.0,349.0,3260
3,F.T,366.0,396.0,493,136,475.0,342.0,164.0,372.0,341.0,3085
4,L.T,342.0,283.0,434,136,415.0,304.0,164.0,307.0,262.0,2647
5,Hdcp,,,,,,,,,,­
