,箱根,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3.0,5D,3N,4.0,4.0,4.0,4.0,36
1,Back T.,557.0,452.0,182.0,548,162,357.0,445.0,395.0,347.0,3445
2,Reg.,533.0,408.0,165.0,527,139,338.0,415.0,382.0,335.0,3242
3,FT1,506.0,388.0,150.0,527,139,338.0,394.0,357.0,316.0,3115
4,FT2,506.0,367.0,150.0,527,139,338.0,394.0,357.0,316.0,3094
5,LT,395.0,288.0,150.0,422,139,338.0,304.0,277.0,316.0,2629
6,ST,395.0,367.0,150.0,422,139,338.0,304.0,357.0,316.0,2788
7,Hdcp,,,,,,,,,,­
