,里,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,3N,5,4,3,4,4,4,36
1,BACK,593,343,193,442,359,197,382,312,334,3155
2,Reg,568,335,160,431,351,183,332,304,308,2972
3,LADIES,457,290,155,364,310,135,317,217,308,2553
4,Hdcp,5,6,2,7,1,4,3,9,8,­
