,山名　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,3N,4.0,4.0,4.0,5.0,4.0,3.0,5D,36
1,B.T,406.0,166,392.0,385.0,404.0,544.0,461.0,184.0,527,3469
2,R.T,378.0,144,364.0,360.0,378.0,512.0,443.0,161.0,504,3244
3,F.T,361.0,132,352.0,338.0,364.0,487.0,425.0,142.0,473,3074
4,L.T,326.0,132,284.0,234.0,301.0,415.0,334.0,142.0,400,2568
5,Hdcp,,,,,,,,,,­
