,駿河,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5D,4,4,3N,4,5,4,36
1,Back T.,366,125,530,317,373,210,402,553,424,3300
2,Reg.,350,109,498,300,354,148,388,518,382,3047
3,Ladies,319,94,422,284,289,128,311,380,332,2559
4,Hdcp,6,9,4,8,2,7,1,5,3,­
