,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5D,5,3N,4,4,36
1,Back,361,397,294,182,488,481,151,384,360,3098
2,REGULAR,346,370,262,162,462,438,139,363,332,2874
3,LADIES,328,322,233,118,440,426,100,343,317,2627
4,Hdcp,9,1,5,11,3,7,17,15,13,­
