,愛鷹,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,3N,5,4D,36
1,Back T.,360,392,566,186,345,437,176,570,433,3465
2,Reg.T,335,377,547,172,326,411,162,513,405,3248
3,Front,322,335,477,148,315,394,152,488,385,3016
4,Hdcp,7,5,2,8,4,1,9,3,6,­
