,箱根　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5D,5.0,4.0,3N,5.0,3.0,4.0,3.0,36
1,BLUE,391.0,520,546.0,408.0,187,512.0,136.0,349.0,155.0,3204
2,WHITE,380.0,488,508.0,374.0,175,481.0,118.0,322.0,110.0,2956
3,RED,314.0,418,485.0,340.0,157,373.0,105.0,269.0,110.0,2571
4,Hdcp,,,,,,,,,,­
