,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,3,4,4,5D,3N,5,36
1,BLUE,347,338,365,198,303,326,557,160,483,3077
2,WHITE,321,323,352,176,278,312,534,155,437,2888
3,GOLD,307,289,329,161,269,299,493,108,427,2682
4,RED,292,224,329,161,227,276,440,108,391,2448
5,Hdcp,16,10,4,8,14,6,2,18,12,­
