,駿河,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,5D,3N,4,36
1,Back(右）,409,382,577,209,376,407,553,134,354,3401
2,Reg.（右）,382,347,531,183,352,376,514,105,335,3125
3,Back（左）,401,380,595,207,374,398,556,147,352,3410
4,Reg.（左）,374,345,549,180,350,367,516,121,333,3135
5,Hdcp,5,8,2,4,7,1,9,3,6,­
