,富士,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,5D,4,3,4,36
1,Back(右）,521,385,153,328,391,564,417,218,406,3383
2,Reg.（右）,499,357,137,314,363,516,389,186,371,3132
3,Back（左）,524,383,161,368,401,562,410,214,385,3408
4,Reg.（左）,502,354,144,351,373,514,383,182,350,3153
5,Hdcp,4,6,9,8,2,1,5,3,7,­
