,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,3N,5,4,5D,4,36
1,Back,375,180,365,375,165,580,360,500,340,3240
2,Regular,355,165,340,355,130,550,330,480,330,3035
3,Hdcp,13,7,3,11,17,1,9,5,15,­
