,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3,4,4,3N,5,3,35
1,BLUE TEES,312,475,360,171,294,374,155,478,191,2810
2,WHITE TEES,310,475,354,150,290,350,145,478,175,2727
3,RED TEES,285,432,305,140,266,325,145,445,154,2497
4,Hdcp,8,14,4,16,18,2,12,6,10,­
