,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5D,4,4,4,4,3N,4,35
1,Back,354,151,484,317,382,326,367,126,400,2907
2,Regular,349,144,462,309,376,317,356,123,389,2825
3,Front,344,137,462,302,370,307,345,120,378,2765
4,LADIES,344,137,462,302,311,307,287,120,313,2583
5,Hdcp,16,10,4,14,2,8,6,18,12,­
