,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,5,4,3N,4,4,4D,36
1,Back,520,390,125,485,380,160,460,310,405,3235
2,Regular,485,355,110,465,340,135,450,285,375,3000
3,Hdcp,2,8,16,6,12,18,4,14,10,­
