,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,4D,3N,5,3,5,4,36
1,BT,458,420,325,350,182,490,187,535,347,3294
2,RT,418,405,313,339,173,480,162,492,322,3104
3,FT,325,354,305,281,163,435,150,485,312,2810
4,Hdcp,6,4,18,10,14,2,12,8,16,­
