,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Annanhill,White 2009,M,70,70.0,93.6,126,35.7  /  126,34.3  /  126
,Yellow 2009,M,69,68.8,91.9,124,35.0  /  125,33.8  /  123
,Red,F,72,70.0,97.8,118,36.4  /  123,33.7  /  112
Ballochmyle,White 2017,M,70,69.7,92.7,124,35.4  /  121,34.3  /  127
,Yellow 2017,M,70,68.3,90.8,121,34.8  /  118,33.5  /  124
,Red 2017,F,71,70.7,99.2,121,35.7  /  127,35.0  /  114
Caprington,White 2010,M,69,68.8,90.8,119,34.5  /  115,34.3  /  122
,Yellow 2010,M,68,67.2,88.5,115,33.8  /  113,33.4  /  116
,Red,F,69,69.3,95.1,109,34.6  /  109,34.7  /  109
Loudoun Gowf,White 2018,M,68,68.6,90.6,119,35.6  /  127,33.0  /  110
,Yellow 2018,M,68,67.7,89.2,116,35.1  /  126,32.6  /  105
,Ladies Red,F,69,70.1,98.6,121,36.2  /  129,33.9  /  113
Muirkirk,White 2014,M,68,67.0,89.4,121,33.5  /  121,33.5  /  121
,Yellow 2014,M,68,65.4,87.4,117,32.7  /  117,32.7  /  117
,Red (Provisional),F,70,70.0,98.6,121,35.0  /  121,35.0  /  121
New Cumnock,White 2014.,M,68,66.2,89.4,126,33.1  /  126,33.1  /  126
,Yellow 2014,M,66,64.8,87.6,124,32.4  /  124,32.4  /  124
,Red (Provisional),F,66,67.8,96.4,121,33.9  /  121,33.9  /  121
Rowallan Castle,Blue,M,71,74.7,99.8,136,36.2  /  131,38.5  /  140
,White,M,71,73.5,98.1,133,35.6  /  128,37.9  /  137
,Yellow,M,71,71.6,95.5,129,34.7  /  125,36.9  /  132
,Red,M,71,68.2,90.8,122,33.0  /  117,35.2  /  126
,White 9 Hole Composite.,M,66,67.2,89.4,119,33.6  /  119,33.6  /  119
,Yellow 9 Hole Composite,M,66,65.6,87.0,115,32.8  /  115,32.8  /  115
,Red 9 Hole Composite,M,64,63.0,83.4,110,31.5  /  110,31.5  /  110
,Red,F,72,72.9,102.5,126,35.1  /  119,37.8  /  132
,Red 9 Hole Composite,F,66,66.4,93.0,113,33.2  /  113,33.2  /  113
