,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Alloa,White,M,71,71.0,95.8,134,35.5  /  140,35.5  /  127
,Yellow,M,69,69.8,94.1,130,34.9  /  137,34.9  /  123
,Red,F,73,72.2,102.4,127,36.3  /  126,35.9  /  128
Alva,White 2016,M,66,64.0,85.5,116,32.0  /  116,32.0  /  115
,Red 2016,M,66,60.4,80.2,107,30.2  /  107,30.2  /  107
,Red 2015,F,66,63.2,88.8,109,31.6  /  109,31.6  /  108
Braehead,White 2018,M,70,69.5,92.6,125,33.6  /  126,35.9  /  123
,Yellow 2018,M,69,67.8,90.3,121,32.7  /  123,35.1  /  119
,Blue,M,67,62.0,82.0,108,30.0  /  109,32.0  /  107
,Red 2014,F,73,71.9,101.7,127,34.7  /  126,37.2  /  127
,Blue,F,67,65.7,92.4,113,31.6  /  111,34.1  /  115
Muckhart - Arndean,White,M,70,67.8,90.4,122,34.0  /  123,33.8  /  121
,Yellow,M,70,66.7,88.9,119,33.5  /  119,33.2  /  119
,Red,M,70,65.4,87.2,117,32.7  /  117,32.7  /  117
,Red,F,72,70.1,100.0,127,35.2  /  127,34.9  /  126
Muckhart - Arndean/Cowden,White,M,71,70.0,94.0,129,33.9  /  123,36.1  /  135
,Yellow,M,70,68.8,92.3,126,33.4  /  119,35.4  /  133
,Green,M,70,68.6,91.8,125,33.4  /  119,35.2  /  130
,Red,M,71,66.9,89.7,123,32.7  /  117,34.2  /  128
,Red,F,72,71.3,101.8,129,35.2  /  127,36.1  /  131
Muckhart - Arndean/Naemoor,White,M,70,70.0,93.5,126,33.9  /  123,36.1  /  129
,Yellow,M,69,68.7,91.7,123,33.4  /  118,35.3  /  128
,Red,M,69,66.6,88.7,119,32.7  /  117,33.9  /  121
,Red,F,72,70.9,101.0,128,35.2  /  127,35.7  /  128
Muckhart - Cowden,White,M,72,72.3,97.4,135,36.3  /  135,36.0  /  135
,Yellow,M,72,71.0,95.7,132,35.6  /  132,35.4  /  131
,Green,M,72,70.4,94.6,130,35.2  /  130,35.2  /  130
,Red,M,72,67.8,91.0,125,34.0  /  126,33.8  /  124
,Red,F,72,72.1,103.4,133,36.2  /  133,35.9  /  132
Muckhart - Naemoor,White,M,70,72.4,96.7,131,36.3  /  131,36.1  /  130
,Yellow,M,70,70.9,94.7,128,35.6  /  128,35.3  /  128
,Red,M,68,66.6,89.0,121,33.3  /  121,33.3  /  121
,Red,F,72,71.1,102.0,131,35.7  /  131,35.4  /  131
Muckhart - Naemoor/Cowden,White,M,71,72.5,97.2,133,36.2  /  131,36.3  /  135
,Yellow,M,71,71.1,95.4,131,35.5  /  128,35.6  /  133
,Green,M,71,70.7,94.7,129,35.5  /  128,35.2  /  130
,Red,M,70,68.2,91.4,125,33.9  /  121,34.3  /  129
,Red,F,72,71.8,102.4,130,35.7  /  128,36.1  /  131
Tillicoultry,White 2017,M,68,66.6,86.9,110,33.2  /  108,33.4  /  111
,Yellow 2017,M,68,65.4,85.2,107,32.7  /  105,32.7  /  108
,Red 2013,F,70,69.2,98.2,123,34.6  /  123,34.6  /  123
