,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Aboyne,White 2016,M,68,69.0,90.3,115,34.2  /  113,34.8  /  116
,Yellow 2016,M,68,67.7,88.7,113,33.7  /  111,34.0  /  115
,Red 2016,F,72,70.8,99.7,123,35.4  /  121,35.4  /  124
Alford,White,M,69,66.2,87.5,115,32.3  /  108,33.9  /  122
,Yellow,M,69,65.1,85.8,111,31.8  /  104,33.3  /  118
,White 9 Hole Composite,M,68,64.8,84.8,108,32.4  /  108,32.4  /  108
,Yellow 9 Hole Composite,M,68,63.6,83.4,107,31.8  /  107,31.8  /  107
,Red 9 Hole Composite,F,70,71.0,99.8,122,35.5  /  122,35.5  /  122
,Red,F,70,69.9,98.1,120,35.5  /  123,34.4  /  116
Auchenblae Golf Club,White 2015,M,64,61.0,79.7,101,30.4  /  101,30.6  /  100
,Yellow 2015,M,64,59.8,78.1,99,29.9  /  98,29.9  /  99
,Yellow 2015,F,64,61.6,86.3,105,30.7  /  105,30.9  /  104
,Red 2015,F,64,60.9,85.2,103,30.4  /  103,30.5  /  103
Ballater,White,M,70,69.1,91.0,118,35.0  /  118,34.1  /  118
,Yellow,M,67,66.9,88.1,114,33.8  /  112,33.1  /  115
,Red,M,66,65.4,85.7,110,32.9  /  108,32.5  /  111
,Red,F,71,70.7,99.1,121,35.4  /  120,35.3  /  121
Ballindalloch Castle,White,M,72,71.5,94.6,124,36.1  /  125,35.4  /  123
,Yellow,M,71,70.9,93.8,124,35.8  /  125,35.1  /  122
,Red (Provisional),F,72,72.8,101.8,123,36.4  /  122,36.4  /  124
Balmoral,White 2011,M,66,64.0,84.8,112,32.0  /  109,32.0  /  115
,Red 2011,F,68,67.0,94.5,117,33.9  /  118,33.1  /  115
Banchory,White 2017,M,69,68.3,91.7,126,32.8  /  121,35.5  /  131
,Yellow 2017,M,68,67.1,90.0,123,32.3  /  117,34.8  /  129
,Red 2017,M,68,65.8,88.3,121,31.7  /  116,34.1  /  126
,White 2017,F,73,74.2,105.1,131,35.3  /  124,38.9  /  138
,Yellow 2017,F,72,72.5,102.6,128,34.7  /  121,37.8  /  134
,Red 2017,F,71,70.9,100.2,125,34.0  /  118,36.9  /  131
Braemar,White,M,65,64.6,84.7,108,31.9  /  102,32.7  /  114
,Yellow,M,65,63.8,83.6,107,31.5  /  100,32.3  /  113
,Red Composite,F,68,69.2,96.6,116,34.6  /  116,34.6  /  116
,Red,F,66,66.9,92.8,110,33.1  /  109,33.8  /  111
Cruden Bay,Blue 2015,M,71,72.8,97.0,131,37.7  /  137,35.1  /  124
,White 2015,M,70,71.1,94.3,125,36.1  /  129,35.0  /  121
,Yellow 2015,M,69,69.4,91.3,118,35.6  /  115,33.8  /  121
,Green 2015,M,67,67.2,88.1,113,34.5  /  111,32.7  /  114
,Red 2015,F,72,74.4,106.9,138,38.0  /  141,36.4  /  135
,Green 2015,F,70,72.0,102.4,129,36.6  /  133,35.4  /  125
Cruden Bay - St Olaf,Blue 2013,M,64,64.0,84.8,112,32.0  /  112,32.0  /  112
,Red 2014,F,66,68.4,96.6,120,34.2  /  120,34.2  /  120
Duff House Royal,White,M,68,69.3,90.6,115,33.9  /  115,35.4  /  114
,Yellow,M,68,68.4,89.5,114,33.5  /  114,34.9  /  113
,Red,M,67,66.7,86.8,109,32.8  /  109,33.9  /  108
,White,F,74,74.8,105.1,129,36.6  /  127,38.2  /  130
,Yellow,F,73,73.7,103.5,127,36.1  /  125,37.6  /  128
,Red,F,72,71.5,100.2,122,35.2  /  121,36.3  /  122
Dunecht House,White 2012,M,72,70.2,92.2,118,35.1  /  118,35.1  /  118
,Yellow 2012,M,70,67.8,89.0,113,33.9  /  113,33.9  /  113
,Red 2012,F,72,73.0,103.0,127,36.5  /  127,36.5  /  127
Inchmarlo - Queen's Course,White 2016,M,64,61.6,82.0,110,30.8  /  110,30.8  /  110
,Yellow 2016,M,64,60.8,80.6,107,30.4  /  107,30.4  /  107
,Red 2016,F,66,61.6,87.1,109,30.8  /  109,30.8  /  109
Insch,White 9 Hole Composite,M,70,68.6,90.6,118,34.3  /  118,34.3  /  118
,White 2013,M,69,66.8,87.8,113,34.8  /  122,32.0  /  104
,Yellow 2013,M,69,65.4,86.1,111,33.8  /  118,31.6  /  104
,Red Composite 9,F,72,71.2,100.6,125,35.6  /  125,35.6  /  125
,Red 2017,F,70,68.6,97.2,121,36.0  /  126,32.6  /  116
Inverallochy,White 2016,M,67,66.8,87.7,113,33.4  /  113,33.4  /  112
,Yellow 2016,M,66,65.6,85.9,111,32.8  /  111,32.8  /  110
,Winter 9 Hole Composite,M,64,63.2,82.8,105,31.6  /  105,31.6  /  105
,Winter Tee,M,64,63.0,82.3,104,31.2  /  104,31.8  /  103
,Red 2016,F,67,67.7,94.5,114,33.4  /  109,34.3  /  119
,Winter,F,66,66.5,92.6,111,33.0  /  107,33.5  /  114
Inverurie,White 2018,M,69,67.6,90.6,124,34.2  /  127,33.4  /  121
,Yellow 2018,M,69,66.3,88.7,121,33.5  /  124,32.8  /  117
,Red 2018,F,70,70.7,99.4,122,36.1  /  123,34.6  /  120
Kemnay,Black,M,71,71.8,96.6,133,36.9  /  134,34.9  /  132
,White,M,71,71.2,95.8,131,36.5  /  132,34.7  /  130
,Yellow,M,71,69.5,93.5,128,35.7  /  129,33.8  /  127
,Red,F,73,72.4,103.7,133,36.7  /  135,35.7  /  131
Kings Links,White 2014 New,M,71,70.8,92.9,120,36.9  /  124,33.9  /  115
,Yellow 2014 New,M,71,68.1,89.3,115,35.6  /  118,32.5  /  111
,Yellow 9 Hole Composite,M,68,68.0,89.0,113,34.0  /  113,34.0  /  113
,Red New,F,68,70.5,97.6,116,36.8  /  120,33.7  /  111
Kintore,White 2018,M,70,70.5,94.4,129,37.0  /  137,33.5  /  121
,White 9 hole composite 2018,M,68,68.2,90.2,118,34.1  /  118,34.1  /  118
,Yellow 2018,M,70,67.6,90.4,123,35.3  /  131,32.3  /  114
,Yellow 9 hole composite 2018,M,68,66.2,87.4,114,33.1  /  114,33.1  /  114
,Red 2018,F,70,71.0,100.8,127,37.2  /  133,33.8  /  120
,Red 9 Hole Composite,F,70,69.4,98.4,123,34.7  /  123,34.7  /  123
Longside Golf Club - Longside,White 2013,M,66,66.0,88.5,121,35.0  /  135,31.0  /  106
,Yellow 2013,M,66,63.5,85.1,115,33.2  /  126,30.3  /  104
,Red 2013,F,66,67.7,95.0,116,36.1  /  124,31.6  /  108
Longside Golf Club - No 2,White (Provisional),M,62,61.0,79.6,100,30.5  /  100,30.5  /  100
,Yellow (Provisional),M,62,59.6,77.4,96,29.8  /  96,29.8  /  96
,Red (Provisional),F,62,62.0,85.0,98,31.0  /  98,31.0  /  98
Lumphanan,White,M,62,60.8,80.2,104,30.4  /  104,30.4  /  104
,Yellow,M,62,60.6,79.8,103,30.3  /  103,30.3  /  103
,Red,M,60,59.0,77.2,98,29.5  /  98,29.5  /  98
,White,F,64,63.2,88.8,109,31.6  /  109,31.6  /  109
,Yellow,F,64,62.8,88.2,108,31.4  /  108,31.4  /  108
,Red,F,64,60.8,85.0,103,30.4  /  103,30.4  /  103
McDonald Ellon,White 2016,M,70,69.6,92.9,125,36.9  /  141,32.7  /  109
,Yellow 2016,M,70,68.1,90.4,121,35.9  /  138,32.2  /  103
,Red 2016,F,73,73.1,104.4,133,39.4  /  147,33.7  /  119
Meldrum House Golf Club,Black 2017,M,72,74.7,99.9,136,38.0  /  136,36.7  /  136
,Blue 2017,M,70,71.7,95.5,128,35.9  /  131,35.8  /  125
,White 2017,M,70,70.7,94.2,127,35.3  /  129,35.4  /  124
,Yellow 2017,M,70,69.1,92.4,126,34.5  /  127,34.6  /  124
,Yellow 2011,F,71,74.4,105.4,132,37.2  /  134,37.2  /  129
,Red 2011,F,70,72.1,102.2,128,36.4  /  131,35.7  /  124
Newburgh-on-Ythan,White,M,72,71.7,95.3,127,35.9  /  127,35.8  /  127
,Yellow,M,72,68.5,90.6,119,34.1  /  118,34.4  /  119
,Red,F,72,72.2,100.7,121,35.4  /  119,36.8  /  123
Newmachar - Hawkshill,Black 2018,M,72,73.8,100.1,142,36.5  /  144,37.3  /  139
,White 2018,M,72,73.1,99.3,141,36.2  /  144,36.9  /  138
,Yellow 2018,M,72,71.5,97.0,138,35.3  /  140,36.2  /  135
,Red,M,70,68.4,92.6,130,33.7  /  133,34.7  /  127
,Black 2018,F,75,80.7,116.6,152,39.5  /  149,41.2  /  155
,White 2018,F,75,79.8,115.2,151,39.1  /  148,40.7  /  153
,Yellow 2018,F,74,77.9,112.4,146,38.1  /  143,39.8  /  149
,Red 2018,F,72,74.3,107.0,139,36.3  /  136,38.0  /  142
Newmachar - Swailend,White,M,72,70.9,94.8,129,34.7  /  129,36.2  /  128
,Yellow,M,72,69.5,92.9,126,34.1  /  126,35.4  /  126
,Red,M,70,67.5,90.1,122,33.1  /  124,34.4  /  119
,Green,M,65,60.8,80.5,106,29.9  /  107,30.9  /  105
,White,F,75,76.6,108.8,137,37.4  /  136,39.2  /  137
,Yellow,F,73,75.0,106.3,133,36.7  /  132,38.3  /  133
,Red,F,72,72.8,102.9,128,35.7  /  128,37.1  /  127
,Green,F,65,63.1,89.6,113,30.6  /  111,32.5  /  114
Oldmeldrum,White 2017 New,M,70,69.7,91.7,118,35.2  /  119,34.5  /  117
,Yellow 2017 New,M,70,67.6,89.0,115,34.0  /  115,33.6  /  115
,Yellow Winter,M,70,64.1,83.9,107,31.8  /  104,32.3  /  109
,Red,F,72,71.0,100.6,126,35.6  /  123,35.4  /  128
,Red Winter,F,71,68.4,96.8,121,34.2  /  118,34.2  /  123
Paul Lawrie Golf Centre - Devenick,White,M,58,58.4,75.8,94,29.2  /  94,29.2  /  94
,Blue,F,56,58.6,81.6,98,29.3  /  98,29.3  /  98
Peterhead - 9 Hole Course,Red,M,62,61.8,80.2,99,30.9  /  99,30.9  /  99
,Red,F,64,66.0,91.0,106,33.0  /  106,33.0  /  106
Peterhead - Craigewan Links,Black 2018,M,70,71.5,95.2,128,35.7  /  128,35.8  /  127
