,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3,5,4,4,3N,4,5,36
1,Champion,403,408,201,575,416,410,188,412,558,3571
2,Regular,379,384,172,556,401,384,174,387,537,3374
3,Front,360,359,150,536,388,364,154,369,508,3188
4,Ladies,252,298,125,403,302,333,119,309,417,2558
5,Hdcp,3,9,15,1,7,13,17,11,5,­
