,レイク,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,4,4,5D,3,36
1,Back T.,404,370,523,159,402,356,402,541,218,3375
2,Reg T.,372,357,508,123,383,328,377,514,197,3159
3,Front,344,339,486,115,366,309,336,481,180,2956
4,Hdcp,5,9,2,7,1,3,6,4,8,­
