,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,4,4,3,4,5D,36
1,Champion,435,570,212,428,359,400,195,454,517,3570
2,Regular1,408,559,187,390,331,385,171,411,495,3337
3,Regular2,403,513,174,378,331,368,164,375,482,3188
4,GOLD,386,494,157,349,318,346,149,364,474,3037
5,PINK,342,418,129,276,304,296,120,352,389,2626
6,Red,342,469,157,276,304,333,141,352,389,2763
7,Hdcp,5,3,9,1,7,4,8,2,6,­
