,北,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4.0,4.0,3.0,4.0,4.0,4.0,4.0,35
1,Back,509,179,297.0,301.0,144.0,278.0,353.0,285.0,332.0,2678
2,Regular,484,165,286.0,294.0,133.0,264.0,313.0,268.0,315.0,2522
3,Ladies,454,152,286.0,284.0,121.0,244.0,313.0,236.0,282.0,2372
4,Hdcp,,,,,,,,,,­
