,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,5,4,3,5D,3N,4,36
1,Back T.(B),528,405,195,558,411,193,491,189,436,3406
2,Reg.(B),493,394,173,549,403,171,472,176,413,3244
3,Back T.(K),534,413,174,536,363,162,494,176,430,3282
4,Reg.(K),499,402,158,527,355,140,474,163,407,3125
5,Hdcp,3,9,15,1,7,13,5,17,11,­
