,西,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,5.0,3N,4.0,4.0,5D,4.0,36
1,Back,405.0,199.0,382.0,501.0,132,345.0,389.0,521,393.0,3267
2,Regular,388.0,166.0,339.0,465.0,117,327.0,371.0,495,365.0,3033
3,Ladies,365.0,155.0,316.0,452.0,117,267.0,339.0,373,308.0,2692
4,Hdcp,,,,,,,,,,­
