,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4D,4,5,3N,4,5D,36
1,Champion,431,457,170,402,438,509,157,411,532,3507
2,Regular1,413,440,150,383,418,486,157,394,509,3350
3,Regular2,398,371,140,359,399,445,139,370,479,3100
4,GOLD,370,354,125,339,374,434,139,354,463,2952
5,PINK,322,311,120,300,346,418,123,270,448,2658
6,Red,349,339,120,300,346,418,123,354,448,2797
7,Hdcp,3,6,8,5,1,4,9,2,7,­
