,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,4D,3,4,5D,36
1,Champion,378,169,506,380,325,407,182,410,528,3285
2,Regular1,352,153,492,345,307,394,166,390,517,3116
3,Regular2,352,145,470,340,299,383,160,382,485,3016
4,GOLD,325,145,432,313,285,369,149,369,472,2859
5,PINK,241,132,367,294,260,304,149,276,331,2354
6,Red,325,132,422,294,285,304,149,276,451,2638
7,Hdcp,5,9,3,8,6,1,7,2,4,­
