,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5D,4,4,3,4,5,36
1,Back,415,186,414,545,372,401,150,393,506,3382
2,Regular,390,147,387,509,360,390,138,366,476,3163
3,Front,363,134,372,498,310,372,125,345,446,2965
4,Ladies,339,113,306,465,310,251,106,322,413,2625
5,Hdcp,3,8,4,1,7,5,9,6,2,­
