,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3,4,4,3N,5,4,36
1,Back,481,523,380,210,415,355,190,529,387,3470
2,Regular,462,503,369,201,398,325,166,505,366,3295
3,Front,436,498,355,171,353,311,136,484,353,3097
4,Gold,388,448,338,154,328,296,114,471,350,2887
5,Ladies,294,421,313,147,314,275,109,450,289,2612
6,Hdcp,10,4,16,8,2,14,16,12,6,­
