,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,5D,4,4,3,4,36
1,Back,397,214,480,342,483,402,361,182,440,3301
2,Regular,385,195,475,317,476,374,342,166,396,3126
3,Front,368,155,472,304,471,339,314,144,351,2918
4,Ladies,327,131,402,283,347,296,211,131,310,2438
5,Hdcp,5,8,2,7,1,4,6,9,3,­
