,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3,4,5,3,4,4,36
1,Champion,396,520,425,200,447,557,173,444,442,3604
2,Back,396,508,425,196,447,536,173,444,442,3567
3,Reg.,351,490,381,159,394,487,142,398,400,3202
4,Ladies,302,430,343,122,307,414,109,336,362,2725
5,Hdcp,10,16,4,14,2,8,18,12,6,­
