,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3,4,4,4,3N,5,36
1,Back,421,423,504,176,410,349,364,175,549,3371
2,Regular,400,402,478,156,378,336,345,162,536,3193
3,Front,355,383,434,129,367,312,319,139,525,2963
4,Ladies,340,360,410,124,215,291,261,107,406,2514
5,Hdcp,4,3,2,8,5,7,6,9,1,­
