,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4D,4D,3N,5,36
1,Back,348,293,194,503,365,368,420,141,541,3173
2,Reg.,321,271,179,479,347,330,378,128,518,2951
3,LT,293,262,156,432,289,299,275,128,413,2547
4,Hdcp,7,15,17,13,9,5,1,11,3,­
