,中　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5D,4,3N,4,4,3N,4,5D,36
1,Back T.,344,516,325,146,401,400,148,394,529,3203
2,Reg.,327,497,312,133,387,383,137,360,508,3044
3,Front,297,478,296,117,368,365,124,345,486,2876
4,Ladies,263,430,284,104,292,299,116,291,433,2512
5,Hdcp,14,4,12,18,8,6,16,10,2,­
