,マウンテン,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3N,5,4,4D,5D,3,4,36
1,Back T.,394,384,140,478,383,444,513,220,422,3378
2,Reg T.,378,368,140,478,352,444,489,220,392,3261
3,Front,378,368,127,467,352,429,461,194,361,3137
4,Hdcp,4,2,9,8,6,1,3,7,5,­
