,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4,4D,4,3,5,36
1,Champion,418,191,526,478,445,358,473,153,538,3580
2,Regular,394,156,498,455,415,341,450,133,521,3363
3,Front,372,133,473,420,386,311,416,113,498,3122
4,Ladies,286,112,443,317,258,266,320,101,417,2520
5,Hdcp,4,16,10,8,2,14,12,18,6,­
