,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,4.0,3N,5D,3.0,4.0,4.0,36
1,Back T.(B),532.0,416.0,421.0,350.0,187,520,183.0,413.0,413.0,3435
2,Reg.(B),513.0,396.0,394.0,337.0,164,501,158.0,393.0,393.0,3249
3,Back T.(K),526.0,401.0,416.0,355.0,129,519,186.0,406.0,413.0,3351
4,Reg.(K),507.0,381.0,389.0,342.0,156,500,159.0,386.0,393.0,3213
5,Hdcp,,,,,,,,,,­
