,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4D,4,3N,4,3N,4,5,4D,36
1,Blue,536,398,405,175,348,174,395,476,422,3329
2,White,517,378,405,158,334,161,376,476,408,3213
3,Gold,517,354,307,141,316,145,336,476,357,2949
4,Red,463,253,307,135,245,107,277,433,322,2542
5,Hdcp,16,10,4,8,2,14,6,18,12,­
