,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,4,3,4,5D,4,36
1,Back,398,407,533,135,386,176,323,538,380,3276
2,Regular,383,394,513,120,369,168,314,520,370,3151
3,Front,357,358,495,110,341,159,297,495,339,2951
4,Gold,335,349,486,106,325,152,277,463,327,2820
5,Ladies,316,332,445,102,316,94,273,448,297,2623
6,Hdcp,15,3,9,13,1,7,17,5,11,­
