,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
La Broquerie Golf Course - La Broquerie Golf Club,Black,M,72,72.0,93.4,115,36.3  /  115,35.7  /  115
,Blue,M,72,69.5,90.1,111,34.7  /  111,34.8  /  111
,White,M,71,66.6,86.0,104,33.3  /  103,33.3  /  105
,Red,M,68,63.4,81.4,97,31.5  /  97,31.9  /  97
,White,F,72,72.2,99.5,116,36.1  /  114,36.1  /  117
,Red,F,71,68.3,94.5,111,33.9  /  113,34.4  /  109
Quarry Oaks - Desert/Quarry,Black,M,72,74.8,100.6,139,36.9  /  141,37.9  /  137
,Blue,M,72,72.5,96.4,129,35.8  /  130,36.7  /  127
,White,M,72,69.8,92.6,123,34.5  /  117,35.3  /  128
,Gold,M,69,66.9,88.8,118,32.8  /  113,34.1  /  123
,White,F,72,75.5,107.8,137,37.1  /  132,38.4  /  142
,Gold,F,73,71.5,101.9,129,34.7  /  124,36.8  /  134
Quarry Oaks - Oak / Quarry,Black,M,72,74.0,99.0,135,36.1  /  132,37.9  /  137
,Blue,M,72,71.6,94.9,126,34.9  /  124,36.7  /  127
,White,M,71,69.2,91.8,122,33.9  /  115,35.3  /  128
,Gold,M,69,66.9,88.3,116,32.8  /  107,34.1  /  124
,White,F,72,74.8,106.9,137,36.4  /  131,38.4  /  142
,Gold,F,72,71.5,101.9,129,34.7  /  124,36.8  /  134
Quarry Oaks - Oak/Desert,Black,M,72,73.0,98.2,136,36.1  /  132,36.9  /  139
,Blue,M,72,70.7,94.3,127,34.9  /  124,35.8  /  130
,White Men,M,71,68.4,90.0,116,33.9  /  115,34.5  /  117
,Gold Men,M,68,65.6,86.0,110,32.8  /  107,32.8  /  113
,White,F,72,73.5,104.5,132,36.4  /  131,37.1  /  132
,Gold,F,73,69.4,98.6,124,34.7  /  124,34.7  /  124
Scotswood Links,Blue Men,M,70,69.0,91.4,121,33.9  /  117,35.1  /  124
,White,M,70,67.9,90.3,120,33.7  /  117,34.2  /  123
,Silver,M,68,65.4,85.4,108,33.2  /  110,32.2  /  105
,Red,M,66,63.6,82.6,102,32.3  /  102,31.3  /  102
,White ladies,F,71,73.8,103.2,125,36.6  /  123,37.2  /  126
,Silver ladies,F,71,70.6,98.1,117,35.9  /  118,34.7  /  115
,Red ladies,F,69,67.8,93.7,110,34.5  /  109,33.3  /  110
