,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Asunción Golf Club,AZUL CABALLEROS,M,72,72.0,96.6,132,35.7  /  132,36.3  /  132
,BLANCO CABALLEROS,M,72,70.8,94.9,130,35.1  /  133,35.7  /  126
,AMARILLO CABALLEROS,M,72,67.9,90.9,124,33.6  /  127,34.3  /  121
,ROJO CABALLEROS,M,72,66.4,89.0,122,32.9  /  125,33.5  /  118
,AZUL DAMAS,F,72,77.9,111.6,143,38.7  /  142,39.2  /  143
,BLANCO DAMAS,F,72,76.5,109.4,140,38.1  /  140,38.4  /  139
,AMARILLO DAMAS,F,72,73.1,104.2,132,36.3  /  130,36.8  /  134
,ROJO DAMAS,F,72,71.7,102.2,130,35.7  /  126,36.0  /  133
Carlos Franco Country Club,AZUL CABALLEROS,M,71,72.6,96.2,127,37.4  /  130,35.2  /  124
,BLANCO CABALLEROS,M,71,69.8,92.4,122,36.0  /  125,33.8  /  118
,ROJO CABALLEROS,M,71,66.7,88.6,118,34.6  /  132,32.1  /  103
,DORADO CABALLEROS,M,71,63.9,84.5,111,32.9  /  121,31.0  /  100
,AZUL DAMAS,F,71,78.8,111.3,138,40.6  /  146,38.2  /  130
,BLANCO DAMAS,F,71,76.1,108.1,136,39.1  /  142,36.9  /  130
,ROJO DAMAS,F,71,71.6,101.4,127,37.6  /  135,34.0  /  118
,DORADO DAMAS,F,71,68.9,97.5,122,35.8  /  126,33.1  /  117
Club Centenario,AZUL CABALLEROS,M,72,74.0,98.3,131,37.1  /  130,36.9  /  131
,AMARILLO CABALLEROS,M,72,71.5,95.3,128,35.6  /  128,35.9  /  128
,ROJO CABALLEROS,M,71,69.4,91.6,119,34.6  /  119,34.8  /  119
,ROJA DAMAS,F,72,75.1,106.2,132,37.5  /  131,37.6  /  132
Yacht & Golf Club Paraguayo,AZUL CABALLEROS,M,73,72.3,98.0,138,37.0  /  146,35.3  /  130
,BLANCO CABALLEROS,M,73,70.6,95.8,136,36.0  /  146,34.6  /  125
,AMARILLO CABALLEROS,M,71,68.5,92.5,129,34.9  /  142,33.6  /  116
,ROJO CABALLEROS,M,73,67.2,90.8,127,34.5  /  137,32.7  /  117
,AZUL DAMAS,F,73,79.2,113.7,146,40.4  /  153,38.8  /  139
,BLANCO DAMAS,F,73,76.8,110.2,142,39.2  /  148,37.6  /  136
,AMARILLO DAMAS,F,73,73.6,105.8,137,37.9  /  144,35.7  /  129
,ROJO DAMAS,F,73,72.7,104.9,137,37.5  /  139,35.2  /  134
