,白樺　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4D,4,3N,4,5,36
1,Back T.,393,280,207,524,404,376,151,474,505,3314
2,Reg T.,382,272,191,506,388,358,136,455,490,3178
3,Ladies,337,243,126,410,283,327,104,370,410,2610
4,Hdcp,15,13,9,3,5,11,17,1,7,­
