,フジザクラ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4,3,4,4D,5D,36
1,Champion,438,553,179,366,363,189,403,346,556,3393
2,Back,418,534,157,347,341,173,384,332,523,3209
3,Regular,393,504,123,330,313,149,362,310,497,2981
4,Ladies,293,479,85,273,293,130,319,296,433,2601
5,Hdcp,5,2,8,4,1,7,6,9,3,­
