,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4,5,3N,4,4,4D,36
1,Back,344,177,470,326,476,176,375,326,382,3052
2,Regular,331,160,457,304,460,162,343,291,359,2867
3,Ladys,325,116,425,299,412,135,279,249,331,2571
4,Hdcp,10,16,4,8,2,14,6,18,12,­
