,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,5,4,3N,4,3,4,36
1,Back,366,356,509,607,366,162,365,174,344,3249
2,Reg.,352,339,465,525,350,139,342,162,334,3008
3,Hdcp,3,15,9,1,7,13,5,17,11,­
