,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4D,4,3N,5,4,5D,4,3N,4,36
1,Back,400,417,208,532,378,504,357,135,373,3304
2,Regular,386,396,187,517,335,504,349,122,349,3145
3,Ladies,358,323,135,451,307,441,323,105,271,2714
4,Hdcp,14,2,4,18,6,8,10,16,12,­
