,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4D,5,4,4,3,4,4,5,3N,36
1,Blue,407,488,315,341,198,361,404,560,177,3251
2,White,381,459,315,313,177,361,382,551,151,3090
3,Gold,357,426,268,295,155,336,354,427,122,2740
4,Red,331,400,248,278,128,287,321,411,104,2508
5,Hdcp,10,4,16,8,14,2,12,6,18,­
