,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4D,5,3N,4,4,4,5D,3N,4,36
1,Back,421,533,164,353,375,397,515,191,440,3389
2,Regular,395,504,148,353,330,375,498,175,418,3196
3,Gold,372,490,130,331,300,375,480,152,347,2977
4,Ladies,290,416,130,289,300,270,405,135,301,2536
5,Hdcp,4,10,16,8,14,2,18,6,12,­
