,ハナミズキ,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4D,4,4D,3N,4,5,36
1,Champion,411,187,544,427,396,404,192,426,575,3562
2,Back,392,169,527,395,377,385,163,399,545,3352
3,Regular,370,137,493,361,360,359,134,379,502,3095
4,Ladies,353,112,456,331,328,321,116,283,472,2772
5,Hdcp,5,8,2,1,7,4,9,6,3,­
