,富士山,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,3N,4,5,4,3N,4D,36
1,Back T.,592,323,397,185,420,587,362,162,361,3389
2,Reg T,550,304,374,178,390,558,338,152,338,3182
3,Ladies T,510,281,333,155,362,488,309,133,312,2883
4,Hdcp,5,8,2,7,4,1,6,9,3,­
